agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	15239070	00010	655	1986	5	2.31
USGS	15239070	00010	655	1986	6	4.75
USGS	15239070	00010	655	1986	7	7.31
USGS	15239070	00010	655	1987	2	0.59
USGS	15239070	00010	655	1987	3	0.89
USGS	15239070	00010	655	1987	4	1.2
USGS	15239070	00010	655	1987	5	1.97
USGS	15239070	00010	655	1987	6	3.28
USGS	15239070	00010	655	1987	7	6.5
USGS	15239070	00010	655	1987	8	9.16
USGS	15239070	00010	655	1987	9	7.97
USGS	15239070	00010	655	1987	10	5.87
USGS	15239070	00010	655	1987	11	2.45
USGS	15239070	00010	655	1987	12	0.19
USGS	15239070	00010	655	1988	1	0.39
USGS	15239070	00010	655	1988	2	0.26
USGS	15239070	00010	655	1988	3	0.61
USGS	15239070	00010	655	1988	4	1.13
USGS	15239070	00010	655	1988	5	1.98
USGS	15239070	00010	655	1988	6	2.97
USGS	15239070	00010	655	1988	7	6.26
USGS	15239070	00010	655	1988	8	7.76
USGS	15239070	00010	655	1988	9	6.78
USGS	15239070	00010	655	1988	10	4.56
USGS	15239070	00010	655	1988	11	1.4
USGS	15239070	00010	655	1988	12	0.34
USGS	15239070	00010	655	1989	1	0.02
USGS	15239070	00010	655	1989	2	0.05
USGS	15239070	00010	655	1989	3	0.05
USGS	15239070	00010	655	1989	4	1.35
USGS	15239070	00010	655	1989	5	2.79
USGS	15239070	00010	655	1989	6	5.53
USGS	15239070	00010	655	1989	7	9.15
USGS	15239070	00010	655	1989	8	9.48
USGS	15239070	00010	655	1989	9	8.35
USGS	15239070	00010	655	1989	10	5.06
USGS	15239070	00010	655	1989	11	1.13
USGS	15239070	00010	655	1989	12	0.85
USGS	15239070	00010	655	1990	2	0
USGS	15239070	00010	655	1990	3	0.13
USGS	15239070	00010	655	1990	4	1.12
USGS	15239070	00010	655	1990	5	2.45
USGS	15239070	00010	655	1990	6	5.87
USGS	15239070	00010	655	1990	7	9.42
USGS	15239070	00010	655	1990	8	8.76
USGS	15239070	00010	655	1990	9	7.98
USGS	15239070	00010	655	1990	10	4.58
USGS	15239070	00010	655	1990	11	0.2
USGS	15239070	00010	655	1990	12	0
USGS	15239070	00010	655	1991	1	0
USGS	15239070	00010	655	1991	2	0
USGS	15239070	00010	655	1991	3	0.1
USGS	15239070	00010	655	1991	4	0.97
USGS	15239070	00010	655	1991	5	2.73
USGS	15239070	00010	655	1991	6	5.82
USGS	15239070	00010	655	1991	8	8.85
USGS	15239070	00010	655	1991	9	7.63
USGS	15239070	00010	655	1991	10	3.68
USGS	15239070	00010	655	1991	11	1.98
USGS	15239070	00010	655	1992	5	1.97
USGS	15239070	00010	655	1992	6	4.8
USGS	15239070	00010	655	1992	7	8.53
USGS	15239070	00010	655	1992	8	9.66
USGS	15239070	00010	655	1992	9	5.95
USGS	15239070	00010	655	1992	10	2.82
USGS	15239070	00010	655	1993	2	0.48
USGS	15239070	00010	655	1993	6	6.53
USGS	15239070	00010	655	1993	7	9.52
USGS	15239070	00010	655	1993	8	10.19
USGS	15239070	00010	655	1993	9	7.37
